State,W1_1,W1_2,W2_1,W2_2,W3_1,W3_2,W4_1,W4_2,W5_1,W5_2,Total_1,Total_2,Distance,Population,age_1,age_2
Connecticut,31200.0,31200.0,22425.0,22425.0,28275.0,28275.0,22425.0,22425.0,22425.0,22425.0,126750.0,126750.0,643.5,3579918,2115540,630124
Maine,12675.0,12675.0,8775.0,8775.0,10725.0,10725.0,8775.0,8775.0,8775.0,8775.0,49725.0,49725.0,829.4,1364571,787973,290678
Massachusetts,59475.0,59475.0,42900.0,42900.0,54600.0,54600.0,42900.0,42900.0,42900.0,42900.0,242775.0,242775.0,724.5,6994598,4224952,1186724
New Hampshire,12675.0,12675.0,8775.0,8775.0,10725.0,10725.0,8775.0,8775.0,8775.0,8775.0,49725.0,49725.0,713.0,1378756,824205,259025
Rhode Island,9750.0,9750.0,6825.0,6825.0,8775.0,8775.0,6825.0,6825.0,6825.0,6825.0,39000.0,39000.0,726.0,1096530,655361,194071
Vermont,5850.0,5850.0,4875.0,4875.0,5850.0,5850.0,3900.0,3900.0,4875.0,4875.0,25350.0,25350.0,670.5,642977,374743,129757
New Jersey,76050.0,76050.0,53625.0,53625.0,68250.0,68250.0,53625.0,53625.0,53625.0,53625.0,305175.0,305175.0,601.1,9272794,5482717,1516598
New York,169650.0,169650.0,119925.0,119925.0,154050.0,154050.0,119925.0,119925.0,119925.0,119925.0,683475.0,683475.0,580.1,20105171,12018691,3376464
Delaware,8775.0,8775.0,5850.0,5850.0,7800.0,7800.0,5850.0,5850.0,5850.0,5850.0,34125.0,34125.0,576.6,991928,563676,192262
District of Columbia,6825.0,6825.0,4875.0,4875.0,5850.0,5850.0,4875.0,4875.0,4875.0,4875.0,27300.0,27300.0,505.7,670917,448008,83909
Maryland,50700.0,50700.0,36075.0,36075.0,46800.0,46800.0,36075.0,36075.0,36075.0,36075.0,205725.0,205725.0,519.3,6177935,3662773,973152
Pennsylvania,111150.0,111150.0,78975.0,78975.0,101400.0,101400.0,78975.0,78975.0,78975.0,78975.0,449475.0,449475.0,438.9,12996143,7529565,2419628
Virginia,72150.0,72150.0,50700.0,50700.0,65325.0,65325.0,50700.0,50700.0,50700.0,50700.0,289575.0,289575.0,497.5,8637615,5129575,1370442
West Virginia,16575.0,16575.0,11700.0,11700.0,14625.0,14625.0,11700.0,11700.0,11700.0,11700.0,66300.0,66300.0,371.3,1791646,1020698,364539
Alabama,40950.0,40950.0,29250.0,29250.0,38025.0,38025.0,29250.0,29250.0,29250.0,29250.0,166725.0,166725.0,692.9,5033094,2902113,866058
Florida,179400.0,179400.0,127725.0,127725.0,162825.0,162825.0,126750.0,126750.0,127725.0,127725.0,724425.0,724425.0,1036.2,21592035,12331985,4490977
Georgia,84825.0,84825.0,60450.0,60450.0,77025.0,77025.0,60450.0,60450.0,60450.0,60450.0,343200.0,343200.0,715.5,10732888,6357137,1533520
Kentucky,38025.0,38025.0,27300.0,27300.0,34125.0,34125.0,27300.0,27300.0,27300.0,27300.0,154050.0,154050.0,315.4,4508318,2615089,753298
Mississippi,25350.0,25350.0,17550.0,17550.0,22425.0,22425.0,17550.0,17550.0,17550.0,17550.0,100425.0,100425.0,717.6,2958536,1690138,486126
North Carolina,85800.0,85800.0,61425.0,61425.0,78000.0,78000.0,61425.0,61425.0,61425.0,61425.0,348075.0,348075.0,572.3,10449652,6116691,1729554
South Carolina,42900.0,42900.0,30225.0,30225.0,39000.0,39000.0,30225.0,30225.0,30225.0,30225.0,172575.0,172575.0,631.6,5132249,2944153,930295
Tennessee,56550.0,56550.0,39975.0,39975.0,51675.0,51675.0,39975.0,39975.0,39975.0,39975.0,228150.0,228150.0,471.1,6927904,4057700,1144787
Illinois,109200.0,109200.0,77025.0,77025.0,99450.0,99450.0,77025.0,77025.0,77025.0,77025.0,439725.0,439725.0,228.2,12799088,7544231,2055438
Indiana,55575.0,55575.0,39975.0,39975.0,50700.0,50700.0,39000.0,39000.0,39975.0,39975.0,225225.0,225225.0,120.3,6790497,3912463,1089869
Michigan,84825.0,84825.0,60450.0,60450.0,77025.0,77025.0,60450.0,60450.0,60450.0,60450.0,343200.0,343200.0,139.8,10072703,5848835,1777224
Ohio,98475.0,98475.0,70200.0,70200.0,89700.0,89700.0,70200.0,70200.0,70200.0,70200.0,398775.0,398775.0,190.0,11798905,6803757,2057471
Arkansas,25350.0,25350.0,18525.0,18525.0,23400.0,23400.0,18525.0,18525.0,18525.0,18525.0,104325.0,104325.0,594.0,3014546,1712389,517280
Louisiana,39000.0,39000.0,28275.0,28275.0,36075.0,36075.0,28275.0,28275.0,28275.0,28275.0,159900.0,159900.0,844.5,4652301,2691338,737593
Oklahoma,33150.0,33150.0,23400.0,23400.0,29250.0,29250.0,23400.0,23400.0,23400.0,23400.0,132600.0,132600.0,797.9,3965415,2264494,629116
Texas,224250.0,224250.0,159900.0,159900.0,203775.0,203775.0,158925.0,158925.0,159900.0,159900.0,906750.0,906750.0,1060.5,29239570,17184935,3778098
Iowa,26325.0,26325.0,19500.0,19500.0,24375.0,24375.0,18525.0,18525.0,19500.0,19500.0,108225.0,108225.0,386.1,3191141,1800630,556692
Kansas,24375.0,24375.0,17550.0,17550.0,22425.0,22425.0,17550.0,17550.0,17550.0,17550.0,99450.0,99450.0,712.2,2938172,1666318,475744
Missouri,51675.0,51675.0,37050.0,37050.0,46800.0,46800.0,37050.0,37050.0,37050.0,37050.0,209625.0,209625.0,445.0,6154744,3548716,1054847
Colorado,46800.0,46800.0,33150.0,33150.0,42900.0,42900.0,33150.0,33150.0,33150.0,33150.0,189150.0,189150.0,1068.6,5787129,3522345,852340
Montana,9750.0,9750.0,6825.0,6825.0,8775.0,8775.0,6825.0,6825.0,6825.0,6825.0,39000.0,39000.0,1253.9,1087230,616982,210109
South Dakota,7800.0,7800.0,5850.0,5850.0,6825.0,6825.0,5850.0,5850.0,5850.0,5850.0,32175.0,32175.0,730.1,887948,492294,153465
Wyoming,4875.0,4875.0,3900.0,3900.0,4875.0,4875.0,3900.0,3900.0,3900.0,3900.0,21450.0,21450.0,1100.6,577681,328688,100758
California,327600.0,327600.0,233025.0,233025.0,297375.0,297375.0,232050.0,232050.0,233025.0,233025.0,1323075.0,1323075.0,1829.9,39521958,23739417,5844738
Hawaii,12675.0,12675.0,8775.0,8775.0,11700.0,11700.0,8775.0,8775.0,8775.0,8775.0,50700.0,50700.0,4299.2,1451252,836528,279551
Nevada,25350.0,25350.0,17550.0,17550.0,22425.0,22425.0,17550.0,17550.0,17550.0,17550.0,100425.0,100425.0,1627.5,3116967,1844846,506802
Idaho,13650.0,13650.0,9750.0,9750.0,12675.0,12675.0,9750.0,9750.0,9750.0,9750.0,55575.0,55575.0,1466.3,1849415,1029625,301987
